0_names,0_scores,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals_adj,3_logfoldchanges,4_names,4_scores,4_pvals_adj,4_logfoldchanges,5_names,5_scores,5_pvals_adj,5_logfoldchanges,6_names,6_scores,6_pvals_adj,6_logfoldchanges,7_names,7_scores,7_pvals_adj,7_logfoldchanges
RPS28,18.426851,2.8133758578492e-73,,GABARAP,22.963205,4.660776505269858e-114,,RPS27,14.145523,7.182968755083327e-43,,RARRES3,7.513511,1.5788140480128108e-11,,NPC2,11.934194,1.0876446930603397e-30,,HLA-C,9.840126,9.601833963906142e-21,,RPS25,7.0548687,6.968487832377881e-10,,GPX1,5.193761,2.503263266640558e-05,
RPS3A,18.378313,6.718860520565779e-73,,AP1S2,22.815897,1.3250526840169129e-112,,RPL18,14.115944,1.0652374889666099e-42,,DUSP2,7.5053606,1.647283365200585e-11,,LRRC25,11.835506,3.473254085151072e-30,,CTSC,9.799301,1.426351894393012e-20,,RPS13,7.042216,7.413660333442221e-10,,GSTP1,5.045024,5.270177384301285e-05,
RPS10,18.325594,1.6885686939705857e-72,,MS4A6A,22.464334,3.7387143019993123e-109,,HLA-DMB,14.051388,2.5898650214244197e-42,,CD2,7.4949083,1.7497125045439524e-11,,LGALS1,11.685696,2.0280443235317807e-29,,ID2,9.753824,2.1948153629377424e-20,,RPS3,6.969049,1.1974803522471414e-09,,CAPG,4.920665,9.775549502602472e-05,
RPL3,18.266567,4.872003405686028e-72,,CD14,22.374834,2.7119843196430498e-108,,CD52,13.892474,2.353518292640976e-41,,PFN1,6.9093122,1.2368233256371759e-09,,IFITM2,11.64433,3.265263283086108e-29,,TTC38,9.707728,3.392054275615565e-20,,RPS18,6.964648,1.1974803522471414e-09,,SPI1,4.899433,0.00010804118601355477,
RPL23A,18.239285,7.846049426035473e-72,,CYBA,22.366364,3.188065764967218e-108,,BANK1,13.856684,3.784623596518685e-41,,SAMD3,6.6916995,5.215903287300955e-09,,PILRA,11.586094,6.331170252587572e-29,,AKR1C3,9.473629,3.195440226528262e-19,,RPL27A,6.9635477,1.1974803522471414e-09,,ANXA2,4.8726964,0.00011981832098656849,
RPL35A,18.172228,2.6102145629694985e-71,,CD68,21.888865,1.2293628253884734e-103,,CXCR4,13.77708,1.1167455768210792e-40,,ID2,6.605967,9.179782487074595e-09,,BID,11.120198,1.225067397874174e-26,,TPST2,9.422003,5.18744332885929e-19,,RPS23,6.868743,2.220645616069709e-09,,CD1C,4.8605638,0.00012443802774794838,
RPLP2,18.128832,5.626477879122019e-71,,LGALS3,21.683111,1.068853826494328e-101,,GNB2L1,13.719215,2.4281169470768105e-40,,C12orf75,6.357639,4.390162123612777e-08,,BRI3,10.984719,5.397899191035914e-26,,CD99,9.315186,1.4029700241549388e-18,,RPS14,6.8462486,2.5358060323267276e-09,,LGALS1,4.854273,0.00012746566012504095,
RPS6,18.086044,1.197834659131602e-70,,RAC1,21.424742,2.762812933390722e-99,,HVCN1,13.519188,3.67227625519077e-39,,HLA-E,6.2858305,6.674933995447244e-08,,CFP,10.620611,2.6864957529111606e-24,,RHOC,9.195707,4.222278245399999e-18,,RPS4X,6.7260156,5.561238915617037e-09,,IL1B,4.801024,0.00016276995118985876,
RPL27A,18.067856,1.631120202125805e-70,,TSPO,21.410887,3.6266757284149205e-99,,RPSA,13.450675,8.901652744383059e-39,,NCR3,6.1465917,1.5509665106089437e-07,,FKBP1A,10.592509,3.57029451534188e-24,,RAP1B,9.161083,5.728541694812004e-18,,RPL10A,6.712813,5.950254949418123e-09,,IFI30,4.7455287,0.00020970556456008612,
NOSIP,18.00024,5.320286380897362e-70,,PYCARD,21.223352,1.9443033555336006e-97,,RPL29,13.4042,1.6324398636867402e-38,,ANXA1,6.0750856,2.3280303052197137e-07,,FGR,10.541285,6.1144810556215135e-24,,FCER1G,9.110749,9.048463646519127e-18,,RPL17,6.658656,8.127283579489003e-09,,LAP3,4.736991,0.00021713643824623145,
RPL5,17.660803,2.2597459144953883e-67,,SERPINA1,21.040564,9.111286144791882e-96,,RPL10A,13.308585,5.775334807536082e-38,,CALM1,6.0286727,3.022783636142077e-07,,LILRA5,10.524465,7.253110751839795e-24,,UBB,8.983416,2.879809204041652e-17,,RPL18,6.6574945,8.127283579489003e-09,,H2AFY,4.7241845,0.00022960089461043006,
RPS23,17.423634,1.412714495019301e-65,,TKT,20.987757,2.706374423757973e-95,,RPL12,12.990685,3.715810778004987e-36,,CCL4,5.973807,4.182408694604729e-07,,ASAH1,10.404383,2.5172746713958623e-23,,HCST,8.87603,7.541520941214608e-17,,RPL32,6.5812716,1.33266164317368e-08,,ALDH2,4.716433,0.00023680362083363288,
RPL36A,17.334183,6.596235533401153e-65,,CEBPD,20.744644,3.9985611859698035e-93,,FAU,12.962548,5.261653368245216e-36,,MT-CYB,5.9463367,4.7601482202493883e-07,,HES4,10.383344,3.114641163837228e-23,,IL2RB,8.605343,7.90516914857639e-16,,RPS10,6.5142174,1.978500778178395e-08,,AMICA1,4.703065,0.0002510496256246174,
RPL14,17.280172,1.654384709581202e-64,,CFP,19.901981,1.117570120930616e-85,,RPS19,12.955967,5.624815608799961e-36,,MATK,5.7772875,1.2248133073389474e-06,,ABI3,10.376433,3.322914999153351e-23,,ARPC5L,8.480387,2.2970595665776244e-15,,RPS26,6.5131783,1.978500778178395e-08,,SPINT2,4.6593647,0.00030633067889106777,
RPS18,17.031199,1.1805415598290751e-62,,HLA-DRA,19.71311,4.657741037155698e-84,,RPL19,12.827076,2.8835927969691534e-35,,FGFBP2,5.7656655,1.2821215267694269e-06,,OAZ1,10.3588505,3.963773348113781e-23,,C12orf75,8.461886,2.672575363731238e-15,,RPS15A,6.4735694,2.476655977150546e-08,,LY86,4.5826373,0.00044033221938363353,
RPS4X,16.590605,1.9269317416459273e-59,,GAPDH,19.63205,2.1711544261198735e-83,,RPL23A,12.68983,1.6489119341497237e-34,,CTSC,5.509375,5.310265861474201e-06,,WARS,10.1385565,3.8129608035848646e-22,,APOBEC3G,8.328351,8.26629781231969e-15,,RPL30,6.4702687,2.4844901451383285e-08,,PHACTR1,4.566236,0.00046964271764595334,
RPL32,16.543333,4.087801693705146e-59,,NEAT1,19.321478,8.835667569262695e-81,,RPS18,12.673894,1.985263329566815e-34,,MYL12B,5.459415,6.75387476032803e-06,,LYN,10.093786,5.978786374297106e-22,,MATK,8.312228,9.401765642367554e-15,,RPSAP58,6.448019,2.8256193438270574e-08,,FCER1G,4.525794,0.0005651779677383042,
RPS26,16.523548,5.58331631222131e-59,,FCGRT,19.0447,1.7804115257312836e-78,,ISG20,12.608932,4.457814279265754e-34,,CD247,5.4195676,8.193196369736411e-06,,SRGN,10.006786,1.4141345158387784e-21,,TYROBP,8.276106,1.2647612844725426e-14,,RPS20,6.433349,3.0568139000987105e-08,,HLA-DQB2,4.490632,0.000662490259325489,
RPL21,16.398024,4.369975635758836e-58,,TALDO1,18.441647,1.4146062509319796e-73,,RPL13,12.431864,4.079190796669399e-33,,BIN2,5.3648534,1.078680163790017e-05,,C5AR1,9.998046,1.5335448062700781e-21,,CLIC1,8.042575,8.320162478030975e-14,,RPL36,6.414278,3.40424098295193e-08,,CEBPD,4.4742303,0.0007105980835655563,
RPL4,16.275715,3.0971590140973656e-57,,IFI6,18.37129,4.8553534033614146e-73,,RPS13,12.367493,8.95668832792485e-33,,TIGIT,5.3284774,1.2994739535857528e-05,,LILRB2,9.992659,1.6076662894534735e-21,,IFITM1,8.004953,1.1225928585892197e-13,,RPL19,6.4101214,3.438043439293545e-08,,CD1D,4.4673777,0.0007288134739088101,
RPL10A,16.177372,1.513488804946248e-56,,SPI1,18.135376,3.5903271704401137e-71,,RPL9,12.352814,1.0574793281162409e-32,,CHST12,5.310554,1.4007840570718824e-05,,FAM26F,9.970706,1.9916292906827463e-21,,PRSS23,7.927127,2.092305955855544e-13,,JUNB,6.3890944,3.878756724013863e-08,,TYROBP,4.4487295,0.0007897405857167986,
RPS16,16.03667,1.4289050179696543e-55,,NCF2,18.122858,4.43865016900646e-71,,RPLP2,12.347231,1.1151896550931281e-32,,LAG3,5.237274,2.0317366319573324e-05,,PYCARD,9.916839,3.396806422275901e-21,,S1PR5,7.9004617,2.5575475670996217e-13,,RPS2,6.353153,4.821513865246828e-08,,AP2S1,4.437271,0.0008219967970898173,
RPS21,15.942331,6.402075855535612e-55,,IFITM3,17.738457,4.2688296769186655e-68,,RPL7A,12.267072,2.96235266173814e-32,,GIMAP7,5.0908656,4.403709865749562e-05,,CDKN1C,9.617575,6.419069754474934e-20,,HLA-A,7.8901258,2.7600030500568263e-13,,BTG1,6.327725,5.593557406661517e-08,,TYMP,4.414354,0.0009081006961855562,
RPL13A,15.771484,9.442790991276447e-54,,BRI3,17.719666,5.792498830962035e-68,,RPL21,12.185582,7.94973833390058e-32,,UBC,5.07464,4.7537446951632865e-05,,LILRA3,9.605124,7.194275609169858e-20,,PTPRCAP,7.7863574,6.222603648399488e-13,,CCR7,6.309265,6.201453003601196e-08,,MS4A6A,4.374586,0.0010834341424128839,
RPL38,15.77037,9.47744386308795e-54,,SRGN,17.618765,3.415489185238392e-67,,RPS2,12.093407,2.4145364091078114e-31,,YWHAQ,5.0333586,5.747478699744587e-05,,HSBP1,9.511265,1.7692850969293845e-19,,PDIA3,7.729822,9.653296497766056e-13,,RPS27,6.301808,6.303237948978975e-08,,LGALS9,4.27247,0.0016466984927441138,
RPL11,15.689836,3.3348343038615887e-53,,CDA,17.47098,4.3013267824146914e-66,,RPL11,12.067895,3.194676511784461e-31,,HLA-F,4.954834,8.413433279466169e-05,,TKT,9.380714,6.113216422868259e-19,,EFHD2,7.710288,1.1179043733720532e-12,,RPL23A,6.3000965,6.303237948978975e-08,,LST1,4.2195582,0.002059466671350587,
RPL17,15.648746,6.195676691243477e-53,,IFI30,17.367847,2.5092643437344866e-65,,PTMA,12.044712,4.170615613572838e-31,,IL2RG,4.8946857,0.0001110010437796712,,CSF1R,9.367501,6.875403166239315e-19,,HLA-B,7.6655354,1.5756652364051998e-12,,RPS4Y1,6.299424,6.303237948978975e-08,,TGFBI,4.1519303,0.002723653851779637,
RPL18,15.644362,6.549949956156616e-53,,BLVRB,17.267838,1.3741345790994575e-64,,RPL37A,11.977605,9.253610703958358e-31,,IFITM1,4.891516,0.00011156533605043237,,C19orf38,9.366892,6.875403166239315e-19,,LITAF,7.6377845,1.9427392064455527e-12,,RPS19,6.2865267,6.729290837514853e-08,,MNDA,4.14182,0.002829524930338872,
RPL22,15.527882,4.0016656564145e-52,,SH3BGRL3,17.175312,6.557799782307345e-64,,RPL5,11.755762,1.2923045787740737e-29,,APMAP,4.862612,0.00012709804680177485,,TNFRSF1B,9.140144,5.544265682362148e-18,,PPP1R18,7.465492,7.025388653215921e-12,,RPS27A,6.2845707,6.729290837514853e-08,,RNH1,4.1330576,0.0029190817645818354,
GLTSCR2,15.448487,1.340759106216536e-51,,AP2S1,17.163815,7.901392033903413e-64,,RPS10,11.738791,1.557418002183337e-29,,MALAT1,4.854046,0.00013062601290793436,,NINJ1,9.139636,5.544265682362148e-18,,IFITM2,7.4437356,8.234913674098803e-12,,RPS8,6.235915,9.058182793091525e-08,,RGS2,4.131934,0.0029190817645818354,
GIMAP7,15.4118805,2.3346283979596432e-51,,ANXA2,17.0224,8.831585321917408e-63,,PTPRCAP,11.672053,3.373179953748733e-29,,CD53,4.8434806,0.00013669459693447982,,CDA,9.02245,1.606618470633588e-17,,PLEK,7.2885995,2.603113249830541e-11,,RPL7A,6.23127,9.195727300810346e-08,,BID,4.1256433,0.0029823926086718295,
RPL13,15.225885,4.0314744552265953e-50,,NUP214,16.683767,2.6506303436140845e-60,,RPS3A,11.562797,1.1948698032774976e-28,,IL7R,4.770842,0.0001891678462508139,,SOD2,9.01747,1.670699168262438e-17,,ALOX5AP,7.1523776,6.920914666499483e-11,,TPT1,6.22638,9.219986320418164e-08,,SAMHD1,4.123621,0.002991113939631699,
HINT1,15.217778,4.50770157532505e-50,,C1orf162,16.54006,2.8774344132293687e-59,,RPS7,11.514398,2.0689008736592616e-28,,MYO1F,4.731523,0.0002247092620920237,,VASP,8.997194,1.9972399563834245e-17,,RAC2,7.0739827,1.2066440687306453e-10,,RPL36A,6.202113,1.0611211011446908e-07,,TNFSF13B,4.0584645,0.003915737857863048,
RPL37A,15.209469,5.056232098895967e-50,,ARPC1B,16.303188,1.38134023519251e-57,,RPL37,11.473357,3.28324242658029e-28,,TPST2,4.6844687,0.000274952984453331,,LILRB1,8.983422,2.2497141585189743e-17,,CD53,7.0732594,1.2066440687306453e-10,,HNRNPA1,6.1914163,1.1201525829039267e-07,,PGLS,3.9910612,0.005125473978211767,
RPL24,15.014556,9.51187184689154e-49,,HLA-DRB1,15.975418,2.6529377219778545e-55,,RPL26,11.40185,7.386227587075672e-28,,ACTG1,4.6450367,0.0003307080298646727,,MAFB,8.914107,4.16297021858109e-17,,MYO1F,6.9571915,2.7517029207293224e-10,,RPS15,6.1796803,1.1903673833818816e-07,,PLD4,3.9661222,0.005660044362753696,
CD2,15.003486,1.0981076110689194e-48,,ARPC3,15.910858,7.38041437572727e-55,,FCER2,11.264973,3.480364286610175e-27,,SH2D1A,4.6018686,0.000396019855922996,,FGL2,8.837678,8.122723137929791e-17,,PFN1,6.9506283,2.8662466072851644e-10,,RPLP1,6.0978336,1.9400881189234522e-07,,TPM4,3.961179,0.005740900348369109,
RPL19,14.875452,7.414281321639767e-48,,CEBPB,15.718323,1.5381752796346433e-53,,RPL35,11.158636,1.1280294685578657e-26,,S100A4,4.597982,0.0004007143886629291,,RGS2,8.824059,9.119332483117574e-17,,ZAP70,6.9392595,3.088870346267862e-10,,RPS29,6.0414767,2.719829168610959e-07,,ARF3,3.9600558,0.005740900348369109,
RPSAP58,14.78172,2.961538761180906e-47,,RNF130,15.44887,1.012433658360794e-51,,RPS27A,11.138929,1.3900543523382203e-26,,C9orf142,4.425009,0.000853262096221394,,CARD16,8.708601,2.5263912514388134e-16,,CD300A,6.7389574,1.2087061412620551e-09,,CD3E,6.0130534,3.201007303108468e-07,,GSN,3.9407334,0.006189040334844296,
AES,14.776805,3.1503065318387905e-47,,TNFSF13B,15.406127,1.926056697374247e-51,,RPL32,11.119296,1.7111326447441598e-26,,RAP1B,4.4074244,0.0009196029221885928,,ANXA5,8.680754,3.209369381123813e-16,,BST2,6.674154,1.8737172937993106e-09,,MALAT1,6.010608,3.208527951216122e-07,,ANXA5,3.9373634,0.006241903191959868,
RPL35,14.612571,3.4438016974895125e-46,,CSF3R,15.15107,9.29348207691467e-50,,RPL10,11.051375,3.524517134628329e-26,,LAT,4.3840294,0.0010176665129035378,,HMOX1,8.614589,5.629396034608734e-16,,DHRS7,6.6350856,2.4304112137509898e-09,,RPL35A,5.963053,4.243933886870073e-07,,SERPINF1,3.8551314,0.008574403544618771,
RPL37,14.605528,3.778186541413674e-46,,CTSB,14.809571,1.502007673543631e-47,,RPS6,10.97802,7.773808818837098e-26,,PTPRC,4.3513894,0.0011667904264446203,,HLA-DPA1,8.570225,8.235006861433701e-16,,SAMD3,6.5816507,3.4489098219446063e-09,,RPL15,5.921855,5.389612855772882e-07,,ENHO,3.8456948,0.008863321742572218,
RPL7,14.527679,1.1680814109290198e-45,,SLC7A7,14.806578,1.5569885584726408e-47,,EEF1A1,10.95358,1.0068308439969788e-25,,SLC9A3R1,4.317768,0.0013342774966627745,,S100A9,8.523981,1.2220569615971857e-15,,ABI3,6.57762,3.5246318020244735e-09,,RPL13A,5.8530893,8.069942505398702e-07,,IGFLR1,3.8116562,0.010123337836295395,
BTG1,14.507742,1.5346234109508838e-45,,S100A10,14.760522,3.0336142105465258e-47,,MALAT1,10.737284,1.0480594042023749e-24,,ANXA6,4.275355,0.0015839233200681414,,ANXA2,8.49029,1.6245848012649394e-15,,XBP1,6.570282,3.6829895345326314e-09,,GYPC,5.8332233,8.934748204580855e-07,,AIF1,3.8063762,0.01028679917424177,
RPS5,14.49543,1.812047785969435e-45,,CD74,14.729022,4.796864414161999e-47,,RPL27,10.711624,1.367941084869849e-24,,CLIC1,4.273657,0.0015839233200681414,,C10orf54,8.451058,2.2622191790442422e-15,,PSMB10,6.5559154,4.012729367560173e-09,,RPL10,5.814458,9.814483427359461e-07,,RAC1,3.7958164,0.010677937175831749,
RPS19,14.486057,2.0560186593769244e-45,,RGS2,14.599997,3.1571208294093487e-46,,RPL30,10.575635,5.700182759531074e-24,,SH3BGRL3,4.2112446,0.0020487703715532826,,TESC,8.446993,2.3290617081505733e-15,,HLA-E,6.457935,7.661178504848712e-09,,RPL28,5.482916,6.594888245638404e-06,,TNFAIP2,3.7728992,0.011585920993756871,
RPS15,14.3369465,1.746029314026546e-44,,VIM,14.525212,9.352473107890027e-46,,RPL27A,10.560032,6.660157214257149e-24,,CD3G,4.2040377,0.0021027771301269475,,SLC31A2,8.414774,3.0500239689522932e-15,,CCL3,6.440778,8.534469303316464e-09,,RPL12,5.4152503,9.430758177228528e-06,,ID2,3.7638,0.011953384071350232,
